week_no,item_code,holiday_flag,holiday_score,grow_score
201801,501,3,0,7
201801,601,3,0,0
201801,602,3,0,0
201801,1001,3,0,7
201801,1005,3,0,21
201801,1101,3,0,14
201801,1201,3,0,0
201801,1207,3,0,21
201801,1209,3,0,0
201802,501,2,0,11
201802,601,2,0,0
201802,602,2,0,0
201802,1001,2,0,11
201802,1005,2,0,21
201802,1101,2,0,14
201802,1201,2,0,0
201802,1207,2,0,21
201802,1209,2,0,0
201803,501,2,0,15
201803,601,2,0,0
201803,602,2,0,0
201803,1001,2,0,14
201803,1005,2,0,20
201803,1101,2,0,15
201803,1201,2,0,0
201803,1207,2,0,21
201803,1209,2,0,0
201804,501,2,0,21
201804,601,2,0,0
201804,602,2,0,0
201804,1001,2,0,14
201804,1005,2,0,14
201804,1101,2,0,21
201804,1201,2,0,0
201804,1207,2,0,21
201804,1209,2,0,0
201805,501,2,0.2143,9
201805,601,2,0.2143,4
201805,602,2,0.2143,4
201805,1001,2,0.2143,22
201805,1005,2,0.2143,14
201805,1101,2,0.2143,21
201805,1201,2,0.2143,0
201805,1207,2,0.2143,29
201805,1209,2,0.2143,0
201806,501,2,3,4
201806,601,2,3,7
201806,602,2,3,7
201806,1001,2,3,28
201806,1005,2,3,14
201806,1101,2,3,22
201806,1201,2,3,0
201806,1207,2,3,35
201806,1209,2,3,0
201807,501,4,5.3857,28
201807,601,4,5.3857,7
201807,602,4,5.3857,7
201807,1001,4,5.3857,28
201807,1005,4,5.3857,14
201807,1101,4,5.3857,28
201807,1201,4,5.3857,0
201807,1207,4,5.3857,35
201807,1209,4,5.3857,0
201808,501,2,1,8
201808,601,2,1,12
201808,602,2,1,12
201808,1001,2,1,8
201808,1005,2,1,14
201808,1101,2,1,28
201808,1201,2,1,25
201808,1207,2,1,35
201808,1209,2,1,20
201809,501,3,0,0
201809,601,3,0,14
201809,602,3,0,14
201809,1001,3,0,0
201809,1005,3,0,10
201809,1101,3,0,32
201809,1201,3,0,35
201809,1207,3,0,15
201809,1209,3,0,28
201810,501,2,0,0
201810,601,2,0,15
201810,602,2,0,15
201810,1001,2,0,5
201810,1005,2,0,7
201810,1101,2,0,31
201810,1201,2,0,35
201810,1207,2,0,0
201810,1209,2,0,29
201811,501,2,0,0
201811,601,2,0,21
201811,602,2,0,21
201811,1001,2,0,35
201811,1005,2,0,7
201811,1101,2,0,7
201811,1201,2,0,35
201811,1207,2,0,0
201811,1209,2,0,35
201812,501,2,0,0
201812,601,2,0,21
201812,602,2,0,21
201812,1001,2,0,35
201812,1005,2,0,7
201812,1101,2,0,7
201812,1201,2,0,40
201812,1207,2,0,30
201812,1209,2,0,40
201813,501,2,0,0
201813,601,2,0,24
201813,602,2,0,24
201813,1001,2,0,36
201813,1005,2,0,9
201813,1101,2,0,6
201813,1201,2,0,42
201813,1207,2,0,42
201813,1209,2,0,42
201814,501,2,0,0
201814,601,2,0,42
201814,602,2,0,42
201814,1001,2,0,42
201814,1005,2,0,21
201814,1101,2,0,0
201814,1201,2,0,42
201814,1207,2,0,42
201814,1209,2,0,42
201815,501,2,0,0
201815,601,2,0,42
201815,602,2,0,42
201815,1001,2,0,42
201815,1005,2,0,21
201815,1101,2,0,0
201815,1201,2,0,42
201815,1207,2,0,42
201815,1209,2,0,12
201816,501,2,0,0
201816,601,2,0,42
201816,602,2,0,42
201816,1001,2,0,44
201816,1005,2,0,21
201816,1101,2,0,0
201816,1201,2,0,44
201816,1207,2,0,42
201816,1209,2,0,0
201817,501,2,0,0
201817,601,2,0,42
201817,602,2,0,42
201817,1001,2,0,49
201817,1005,2,0,21
201817,1101,2,0,0
201817,1201,2,0,49
201817,1207,2,0,42
201817,1209,2,0,0
201818,501,2,0,6
201818,601,2,0,42
201818,602,2,0,42
201818,1001,2,0,49
201818,1005,2,0,15
201818,1101,2,0,0
201818,1201,2,0,49
201818,1207,2,0,48
201818,1209,2,0,0
201819,501,3,0,10
201819,601,3,0,42
201819,602,3,0,42
201819,1001,3,0,28
201819,1005,3,0,14
201819,1101,3,0,0
201819,1201,3,0,49
201819,1207,3,0,49
201819,1209,3,0,0
201820,501,2,0,14
201820,601,2,0,42
201820,602,2,0,42
201820,1001,2,0,0
201820,1005,2,0,14
201820,1101,2,0,0
201820,1201,2,0,49
201820,1207,2,0,49
201820,1209,2,0,0
201821,501,3,0,21
201821,601,3,0,49
201821,602,3,0,49
201821,1001,3,0,0
201821,1005,3,0,21
201821,1101,3,0,0
201821,1201,3,0,0
201821,1207,3,0,49
201821,1209,3,0,0
201822,501,2,0,24
201822,601,2,0,49
201822,602,2,0,49
201822,1001,2,0,0
201822,1005,2,0,21
201822,1101,2,0,6
201822,1201,2,0,0
201822,1207,2,0,49
201822,1209,2,0,0
201823,501,3,0,28
201823,601,3,0,49
201823,602,3,0,49
201823,1001,3,0,0
201823,1005,3,0,21
201823,1101,3,0,14
201823,1201,3,0,0
201823,1207,3,0,49
201823,1209,3,0,0
201824,501,3,0,0
201824,601,3,0,56
201824,602,3,0,56
201824,1001,3,0,0
201824,1005,3,0,21
201824,1101,3,0,14
201824,1201,3,0,0
201824,1207,3,0,49
201824,1209,3,0,0
201825,501,2,0,0
201825,601,2,0,56
201825,602,2,0,56
201825,1001,2,0,4
201825,1005,2,0,17
201825,1101,2,0,18
201825,1201,2,0,0
201825,1207,2,0,49
201825,1209,2,0,0
201826,501,2,0,0
201826,601,2,0,56
201826,602,2,0,56
201826,1001,2,0,7
201826,1005,2,0,14
201826,1101,2,0,21
201826,1201,2,0,0
201826,1207,2,0,49
201826,1209,2,0,0
201827,501,2,0,0
201827,601,2,0,56
201827,602,2,0,56
201827,1001,2,0,7
201827,1005,2,0,14
201827,1101,2,0,21
201827,1201,2,0,0
201827,1207,2,0,49
201827,1209,2,0,0
201828,501,2,0,0
201828,601,2,0,56
201828,602,2,0,56
201828,1001,2,0,12
201828,1005,2,0,14
201828,1101,2,0,26
201828,1201,2,0,0
201828,1207,2,0,49
201828,1209,2,0,0
201829,501,2,0,0
201829,601,2,0,56
201829,602,2,0,56
201829,1001,2,0,14
201829,1005,2,0,16
201829,1101,2,0,28
201829,1201,2,0,0
201829,1207,2,0,49
201829,1209,2,0,0
201830,501,2,0,0
201830,601,2,0,56
201830,602,2,0,56
201830,1001,2,0,14
201830,1005,2,0,21
201830,1101,2,0,28
201830,1201,2,0,0
201830,1207,2,0,49
201830,1209,2,0,0
201831,501,2,0,0
201831,601,2,0,61
201831,602,2,0,61
201831,1001,2,0,19
201831,1005,2,0,21
201831,1101,2,0,33
201831,1201,2,0,0
201831,1207,2,0,14
201831,1209,2,0,0
201832,501,2,0,0
201832,601,2,0,63
201832,602,2,0,63
201832,1001,2,0,21
201832,1005,2,0,21
201832,1101,2,0,37
201832,1201,2,0,0
201832,1207,2,0,0
201832,1209,2,0,0
201833,501,3,0,0
201833,601,3,0,63
201833,602,3,0,63
201833,1001,3,0,21
201833,1005,3,0,21
201833,1101,3,0,42
201833,1201,3,0,0
201833,1207,3,0,0
201833,1209,3,0,0
201834,501,2,0,6
201834,601,2,0,63
201834,602,2,0,63
201834,1001,2,0,27
201834,1005,2,0,21
201834,1101,2,0,42
201834,1201,2,0,0
201834,1207,2,0,0
201834,1209,2,0,0
201835,501,2,0,9
201835,601,2,0,63
201835,602,2,0,63
201835,1001,2,0,28
201835,1005,2,0,17
201835,1101,2,0,32
201835,1201,2,0,2
201835,1207,2,0,0
201835,1209,2,0,2
201836,501,2,0,14
201836,601,2,0,63
201836,602,2,0,63
201836,1001,2,0,28
201836,1005,2,0,7
201836,1101,2,0,7
201836,1201,2,0,7
201836,1207,2,0,0
201836,1209,2,0,7
201837,501,2,1.5,20
201837,601,2,1.5,69
201837,602,2,1.5,69
201837,1001,2,1.5,34
201837,1005,2,1.5,7
201837,1101,2,1.5,7
201837,1201,2,1.5,13
201837,1207,2,1.5,0
201837,1209,2,1.5,7
201838,501,2,5,12
201838,601,2,5,70
201838,602,2,5,70
201838,1001,2,5,35
201838,1005,2,5,10
201838,1101,2,5,7
201838,1201,2,5,17
201838,1207,2,5,0
201838,1209,2,5,10
201839,501,5,3.1,0
201839,601,5,3.1,70
201839,602,5,3.1,70
201839,1001,5,3.1,35
201839,1005,5,3.1,14
201839,1101,5,3.1,7
201839,1201,5,3.1,21
201839,1207,5,3.1,0
201839,1209,5,3.1,14
201840,501,3,0,28
201840,601,3,0,77
201840,602,3,0,77
201840,1001,3,0,42
201840,1005,3,0,14
201840,1101,3,0,0
201840,1201,3,0,21
201840,1207,3,0,0
201840,1209,3,0,14
201841,501,3,0,12
201841,601,3,0,77
201841,602,3,0,77
201841,1001,3,0,42
201841,1005,3,0,18
201841,1101,3,0,0
201841,1201,3,0,25
201841,1207,3,0,0
201841,1209,3,0,6
201842,501,2,0,0
201842,601,2,0,77
201842,602,2,0,77
201842,1001,2,0,43
201842,1005,2,0,21
201842,1101,2,0,0
201842,1201,2,0,28
201842,1207,2,0,0
201842,1209,2,0,0
201843,501,2,0,0
201843,601,2,0,77
201843,602,2,0,77
201843,1001,2,0,49
201843,1005,2,0,21
201843,1101,2,0,0
201843,1201,2,0,28
201843,1207,2,0,0
201843,1209,2,0,0
201844,501,2,0,0
201844,601,2,0,33
201844,602,2,0,33
201844,1001,2,0,49
201844,1005,2,0,21
201844,1101,2,0,0
201844,1201,2,0,12
201844,1207,2,0,0
201844,1209,2,0,0
201845,501,2,0,0
201845,601,2,0,0
201845,602,2,0,0
201845,1001,2,0,42
201845,1005,2,0,18
201845,1101,2,0,0
201845,1201,2,0,0
201845,1207,2,0,0
201845,1209,2,0,0
201846,501,2,0,0
201846,601,2,0,0
201846,602,2,0,0
201846,1001,2,0,0
201846,1005,2,0,0
201846,1101,2,0,0
201846,1201,2,0,0
201846,1207,2,0,0
201846,1209,2,0,0
201847,501,2,0,0
201847,601,2,0,0
201847,602,2,0,0
201847,1001,2,0,0
201847,1005,2,0,0
201847,1101,2,0,0
201847,1201,2,0,0
201847,1207,2,0,0
201847,1209,2,0,0
201848,501,2,0,0
201848,601,2,0,0
201848,602,2,0,0
201848,1001,2,0,0
201848,1005,2,0,0
201848,1101,2,0,0
201848,1201,2,0,0
201848,1207,2,0,0
201848,1209,2,0,0
201849,501,2,0,0
201849,601,2,0,0
201849,602,2,0,0
201849,1001,2,0,0
201849,1005,2,0,0
201849,1101,2,0,0
201849,1201,2,0,0
201849,1207,2,0,0
201849,1209,2,0,0
201850,501,2,0,0
201850,601,2,0,0
201850,602,2,0,0
201850,1001,2,0,0
201850,1005,2,0,0
201850,1101,2,0,0
201850,1201,2,0,0
201850,1207,2,0,0
201850,1209,2,0,0
201851,501,2,0,0
201851,601,2,0,0
201851,602,2,0,0
201851,1001,2,0,0
201851,1005,2,0,0
201851,1101,2,0,0
201851,1201,2,0,0
201851,1207,2,0,0
201851,1209,2,0,0
201852,501,3,0,0
201852,601,3,0,0
201852,602,3,0,0
201852,1001,3,0,0
201852,1005,3,0,0
201852,1101,3,0,0
201852,1201,3,0,0
201852,1207,3,0,0
201852,1209,3,0,0
201901,501,3,0,6
201901,601,3,0,0
201901,602,3,0,0
201901,1001,3,0,6
201901,1005,3,0,18
201901,1101,3,0,12
201901,1201,3,0,0
201901,1207,3,0,18
