연월일,품종코드,등급코드,총거래량(kg),주간평균단가(원),직팜산지코드,일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,총금액(원)
2018-01-02,05,12,30.0,4874.01804810742,1131,3.1,8.9,-3.3,59.8,0.0,0.0,1,0.0,0.0,114900.0
2018-01-02,99,12,2.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,11718.0
2018-01-02,99,12,25.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,146497.0
2018-01-02,17,13,20.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,45802.0
2018-01-02,17,13,64.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,184000.0
2018-01-02,17,13,32.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,95124.0
2018-01-02,17,13,2.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,4754.0
2018-01-02,06,11,140.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,989464.0
2018-01-02,06,12,10.0,4874.01804810742,1109,0.8,6.3,-3.9,70.4,0.0,0.0,1,0.0,0.0,50000.0
2018-01-02,06,11,1050.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,6915000.0
2018-01-02,06,11,30.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,210453.0
2018-01-02,06,11,15.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,105225.0
2018-01-02,06,12,4.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,16500.0
2018-01-02,06,11,17.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,120139.0
2018-01-02,05,13,80.0,4874.01804810742,1136,7.0,10.1,3.0,53.5,0.0,0.0,1,0.0,0.0,250000.0
2018-01-02,06,12,400.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,2100000.0
2018-01-02,07,13,64.0,4874.01804810742,1102,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,200000.0
2018-01-02,05,13,10.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,32715.0
2018-01-02,05,13,25.0,4874.01804810742,1103,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,77500.0
2018-01-02,05,13,25.0,4874.01804810742,1103,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,80000.0
2018-01-02,99,12,1.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,5859.0
2018-01-02,05,13,5.0,4874.01804810742,1102,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,13000.0
2018-01-02,99,12,3.0,4874.01804810742,1000,-1.8,1.8,-4.3,42.0,0.0,0.0,1,0.0,0.0,17577.0
2018-01-02,06,12,200.0,4874.01804810742,1107,0.7,6.7,-3.2,74.6,0.0,0.0,1,0.0,0.0,1225000.0
2018-01-02,07,20,80.0,4874.01804810742,2000,,,,,,,1,0.0,0.0,220000.0
2018-01-02,17,20,40.0,4874.01804810742,2000,,,,,,,1,0.0,0.0,97500.0
2018-01-02,99,12,150.0,4874.01804810742,1141,-0.2,9.1,-8.3,61.4,0.0,0.0,1,0.0,0.0,675000.0
2018-01-02,06,12,80.0,4874.01804810742,1141,-0.2,9.1,-8.3,61.4,0.0,0.0,1,0.0,0.0,483000.0
2018-01-02,06,11,200.0,4874.01804810742,1141,-0.2,9.1,-8.3,61.4,0.0,0.0,1,0.0,0.0,1292000.0
2018-01-02,06,12,1100.0,4874.01804810742,1135,3.7,8.0,-1.0,43.5,0.0,0.0,1,0.0,0.0,6050000.0
