weekno,품종코드,등급코드,직팜산지코드,총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,year,week,week_start,평균단가(원)
2018_01,0,11,1000,118.0,-4.45,1.6,-10.5,43.325,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,6273.0
2018_01,0,13,1030,15.0,-3.9,-1.0,-6.9,62.5,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,3360.0
2018_01,1,11,1121,4.0,-0.5,6.8,-8.2,41.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,5920.0
2018_01,1,12,1121,5506.0,1.6,8.8,-5.2,32.2,0.0,0.0,4,0.0,0.0,2018,01,2018-01-01,4499.0
2018_01,1,12,1138,3200.0,1.4200000000000002,6.5,-8.3,35.72,0.0,0.0,5,0.0,0.0,2018,01,2018-01-01,5369.0
2018_01,1,12,1156,3000.0,-2.9,4.3,-10.4,50.9,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,4829.0
2018_01,1,12,1168,3000.0,3.2,7.8,-0.5,33.9,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,5340.0
2018_01,1,13,1022,400.0,-1.2,3.9,-5.1,64.4,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2500.0
2018_01,1,13,1094,10.0,0.2,3.7,-1.7,56.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2300.0
2018_01,1,13,1107,60.0,-3.5,1.9,-8.7,57.1,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2377.0
2018_01,1,13,1112,40.0,-2.1,1.4,-5.5,65.3,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,850.0
2018_01,1,13,1122,294.0,-1.7,7.4,-9.6,46.9,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,714.0
2018_01,1,13,1135,1400.0,3.5,8.6,-1.0,42.55,0.0,0.0,2,0.0,0.0,2018,01,2018-01-01,1500.0
2018_01,1,13,1138,1000.0,-1.3,5.6,-8.3,32.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,1700.0
2018_01,1,13,1164,640.0,-2.333333333333333,2.9,-6.7,70.7,0.0,0.0,3,0.0,0.0,2018,01,2018-01-01,2942.0
2018_01,1,13,1170,100.0,4.6,5.8,3.5,58.6,0.0,0.0,1,0.0,0.0,2018,01,2018-01-01,2370.0
2018_01,1,20,2000,1640.0,,,,,0.0,0.0,8,0.0,0.0,2018,01,2018-01-01,2658.0
