weekno,품종코드,등급코드,직팜산지코드,총금액(원),총거래량(kg),일평균기온,최고기온,최저기온,평균상대습도,강수량(mm),1시간최고강수량(mm),holiday_flag,holiday_score,grow_score,평균단가(원)
2018_01,00,11,1000,740240.0,118.0,-4.45,1.6,-10.5,43.325,0.0,0.0,4,0.0,0.0,6273.0
2018_01,00,13,1030,50400.0,15.0,-3.9,-1.0,-6.9,62.5,0.0,0.0,1,0.0,0.0,3360.0
2018_01,01,11,1121,23680.0,4.0,-0.5,6.8,-8.2,41.6,0.0,0.0,1,0.0,0.0,5920.0
2018_01,01,12,1121,24773520.0,5506.0,1.6,8.8,-5.2,32.199999999999996,0.0,0.0,4,0.0,0.0,4499.0
2018_01,01,12,1138,17180000.0,3200.0,1.4200000000000002,6.5,-8.3,35.72,0.0,0.0,5,0.0,0.0,5369.0
2018_01,01,12,1156,14486000.0,3000.0,-2.9,4.3,-10.4,50.9,0.0,0.0,2,0.0,0.0,4829.0
2018_01,01,12,1168,16020000.0,3000.0,3.2,7.8,-0.5,33.9,0.0,0.0,2,0.0,0.0,5340.0
2018_01,01,13,1022,1000000.0,400.0,-1.2,3.9,-5.1,64.4,0.0,0.0,1,0.0,0.0,2500.0
2018_01,01,13,1094,23000.0,10.0,0.2,3.7,-1.7,56.9,0.0,0.0,1,0.0,0.0,2300.0
2018_01,01,13,1107,142631.0,60.0,-3.5,1.9,-8.7,57.1,0.0,0.0,1,0.0,0.0,2377.0
2018_01,01,13,1112,34000.0,40.0,-2.1,1.4,-5.5,65.3,0.0,0.0,1,0.0,0.0,850.0
2018_01,01,13,1122,210000.0,294.0,-1.7,7.4,-9.6,46.9,0.0,0.0,1,0.0,0.0,714.0
2018_01,01,13,1135,2100000.0,1400.0,3.5,8.6,-1.0,42.55,0.0,0.0,2,0.0,0.0,1500.0
2018_01,01,13,1138,1700000.0,1000.0,-1.3,5.6,-8.3,32.6,0.0,0.0,1,0.0,0.0,1700.0
2018_01,01,13,1164,1882800.0,640.0,-2.3333333333333335,2.9,-6.7,70.7,0.0,0.0,3,0.0,0.0,2942.0
2018_01,01,13,1170,237000.0,100.0,4.6,5.8,3.5,58.6,0.0,0.0,1,0.0,0.0,2370.0
2018_01,01,20,2000,4359000.0,1640.0,,,,,0.0,0.0,8,0.0,0.0,2658.0
2018_01,02,12,1093,722000.0,190.0,-0.4,0.6,-1.0,77.5,0.0,0.0,1,0.0,0.0,3800.0
2018_01,02,12,1131,5000000.0,1000.0,1.6,4.6,-1.7,43.8,0.0,0.0,1,0.0,0.0,5000.0
2018_01,04,12,1081,90000.0,25.0,0.4,6.9,-5.5,72.3,0.0,0.0,1,0.0,0.0,3600.0
2018_01,04,13,1030,35000.0,18.0,-3.9,-1.0,-6.9,62.5,0.0,0.0,2,0.0,0.0,1944.0
2018_01,04,13,1083,30000.0,10.0,-1.6,2.1,-4.3,58.0,0.0,0.0,1,0.0,0.0,3000.0
2018_01,05,11,1000,244341.0,40.0,-4.366666666666667,1.6,-10.5,43.666666666666664,0.0,0.0,3,0.0,0.0,6109.0
2018_01,05,11,1004,574600.0,82.6,0.18571428571428575,7.6,-4.5,35.385714285714286,0.0,0.0,7,0.0,0.0,6956.0
2018_01,05,11,1162,96000.0,12.0,-3.1,2.5,-6.4,66.8,0.0,0.0,1,0.0,0.0,8000.0
2018_01,05,12,1000,853649.0,192.0,-4.65,1.6,-10.5,42.65,0.0,0.0,12,0.0,0.0,4446.0
2018_01,05,12,1019,187000.0,50.0,-1.9,3.9,-6.3,57.0,0.0,0.0,2,0.0,0.0,3740.0
