,title,keywords,period,ratio
0,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-01-01,4.94979
1,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-02-01,4.67022
2,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-03-01,5.29776
3,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-04-01,4.88676
4,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-05-01,6.46096
5,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-06-01,5.4904
6,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-07-01,4.97208
7,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-08-01,4.71461
8,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-09-01,9.90189
9,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-10-01,6.5353
10,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-11-01,5.44544
11,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2016-12-01,7.43314
12,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-01-01,5.34896
13,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-02-01,4.48127
14,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-03-01,5.42927
15,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-04-01,4.7199
16,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-05-01,4.95994
17,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-06-01,5.23001
18,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-07-01,4.8148
19,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-08-01,10.94909
20,쌀,"쌀, 쌀 10kg, 신동진쌀, 고시히카리, 햅쌀, 유기농 쌀, 쌀 가격, 찹쌀, 현미, 백미",2017-09-01,6.58428
