,title,keywords,period,ratio
0,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-01-01,0.03046
1,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-02-01,0.02536
2,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-03-01,0.03862
3,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-04-01,0.04678
4,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-05-01,0.06055
5,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-06-01,0.05812
6,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-07-01,0.05227
7,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-08-01,0.07631
8,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-09-01,0.04073
9,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-10-01,0.03254
10,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-11-01,0.03092
11,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2016-12-01,0.02138
12,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-01-01,0.01635
13,가뭄,"가뭄, 가뭄 피해, 농작물 가뭄, 가뭄 작황, 강수량 부족, 논밭 가뭄, 가뭄 농업, 가뭄 대비, 물 부족, 가뭄 영향",2017-02-01,0.02122
